iter	Logloss
0	0.683409213
1	0.6727190339
2	0.6623045559
3	0.6524519365
4	0.6425613206
5	0.6327141568
6	0.6238113554
7	0.6150656273
8	0.6066391141
9	0.5980614016
10	0.5902532509
11	0.5836563745
12	0.5762306865
13	0.5692450463
14	0.5630157915
15	0.5561237982
16	0.5495229888
17	0.5441837169
18	0.5395911824
19	0.5338387505
20	0.5285690691
21	0.5237947167
22	0.519104465
23	0.5150268107
24	0.5102445104
25	0.5061629482
26	0.5019352614
27	0.4978557845
28	0.4941921687
29	0.4896966409
30	0.4862309309
31	0.4829789739
32	0.4785376347
33	0.474564602
34	0.4711908125
35	0.468006035
36	0.4641603615
37	0.4610605782
38	0.4574467383
39	0.4537976588
40	0.4507915341
41	0.4478413583
42	0.4454648795
43	0.4431411722
44	0.4409159305
45	0.4384502531
46	0.4357685877
47	0.4331384734
48	0.4304451109
49	0.428867018
50	0.4262219687
51	0.4241781155
52	0.4225675825
53	0.421049719
54	0.4186565493
55	0.4166752245
56	0.4146408194
57	0.4137679907
58	0.4121663247
59	0.4108627732
60	0.4094412091
61	0.4082085444
62	0.4068232063
63	0.4052429333
64	0.4036392939
65	0.4020345189
66	0.4004371171
67	0.3990384768
68	0.3975997513
69	0.3962987151
70	0.395049527
71	0.3937936095
72	0.392850444
73	0.3916846583
74	0.3905387669
75	0.3896013774
76	0.3884784672
77	0.3874261486
78	0.386029872
79	0.3851589358
80	0.3844000823
81	0.3836017707
82	0.3828484033
83	0.3820827878
84	0.3812088404
85	0.3803438868
86	0.3795298656
87	0.3786893779
88	0.3781178704
89	0.3770086127
90	0.3762480372
91	0.3755149977
92	0.3746403596
93	0.3739982626
94	0.3733011138
95	0.3723020929
96	0.3714797992
97	0.3708912145
98	0.3704589659
99	0.369911275
100	0.3690867
101	0.3683431274
102	0.3676616525
103	0.3671344381
104	0.3665823654
105	0.3661512499
106	0.365795296
107	0.3650039255
108	0.3644230391
109	0.3636914867
110	0.3632442193
111	0.3630516228
112	0.3626418212
113	0.3621985607
114	0.3617168196
115	0.3612747563
116	0.3608304578
117	0.3607442392
118	0.3600795008
119	0.3596456741
120	0.3592403644
121	0.3586260835
122	0.3582389725
123	0.3576351851
124	0.3572491895
125	0.3568307344
126	0.3566056463
127	0.3561696282
128	0.3558957326
129	0.3555310882
130	0.3551027848
131	0.3548031302
132	0.3544742164
133	0.3541966505
134	0.3538829256
135	0.353551034
136	0.3531381099
137	0.3529061257
138	0.3525967047
139	0.3523319801
140	0.3520533978
141	0.3519337181
142	0.3515922913
143	0.3512836888
144	0.3510368799
145	0.3506101666
146	0.3502173527
147	0.3499055819
148	0.3496289793
149	0.3493771757
150	0.3491911194
151	0.3487914287
152	0.3485029148
153	0.3481364126
154	0.3479106459
155	0.347614519
156	0.3473960644
157	0.3471865773
158	0.3469221812
159	0.3466849005
160	0.346459376
161	0.3462410453
162	0.3459218418
163	0.3456169607
164	0.3454580143
165	0.3452361433
166	0.3450034552
167	0.3448078163
168	0.3447080419
169	0.3445561221
170	0.3444012664
171	0.3442504526
172	0.3440637394
173	0.3438463116
174	0.3435024713
175	0.3433314106
176	0.3429948848
177	0.3426849212
178	0.3425048121
179	0.3423443577
180	0.3422045038
181	0.3420355584
182	0.3417506713
183	0.3416041754
184	0.3414319278
185	0.3411190944
186	0.340841589
187	0.3407244545
188	0.3406233207
189	0.3404380308
190	0.3403095811
191	0.3401477664
192	0.3399566463
193	0.3398068013
194	0.3396151206
195	0.3395020514
196	0.3392677468
197	0.3390492748
198	0.3389083014
199	0.3387477442
200	0.3385597235
201	0.338418102
202	0.3382232276
203	0.3381128701
204	0.3379728277
205	0.3378663685
206	0.3376476124
207	0.3375113828
208	0.3373403179
209	0.337230443
210	0.3370293734
211	0.3368676259
212	0.3367626695
213	0.3366880057
214	0.3365171668
215	0.3363774364
216	0.3362802872
217	0.3361848468
218	0.336144108
219	0.3360453872
220	0.3359214929
221	0.3357135598
222	0.3355915793
223	0.3354756885
224	0.3352760173
225	0.3352224205
226	0.3350562072
227	0.3349415547
228	0.3348188488
229	0.3346723527
230	0.334531378
231	0.3344040885
232	0.3342750845
233	0.3341571389
234	0.3340694401
235	0.3338902289
236	0.3337945777
237	0.3337105008
238	0.3335656522
239	0.3334228423
240	0.3333347535
241	0.3332712551
242	0.3331835856
243	0.3330430009
244	0.3329401526
245	0.3329281691
246	0.3328445476
247	0.3327479324
248	0.3326848813
249	0.3326138388
250	0.3325810578
251	0.3325460066
252	0.3324552466
253	0.3323925676
254	0.3323059701
255	0.3322054947
256	0.3320961017
257	0.3319288182
258	0.331785469
259	0.3316978441
260	0.331565019
261	0.3315038143
262	0.3313332141
263	0.3312341217
264	0.3311693005
265	0.3311268624
266	0.3310911958
267	0.3309550366
268	0.3308654924
269	0.330792567
270	0.3306952554
271	0.330600089
272	0.3305262824
273	0.3304192873
274	0.3303405631
275	0.3302908672
276	0.3301814076
277	0.3300680919
278	0.3299514993
279	0.3298565753
280	0.3297833932
281	0.3297121687
282	0.329657072
283	0.3295106219
284	0.3293552663
285	0.3292850997
286	0.3291772075
287	0.3290684447
288	0.3290066602
289	0.3289299376
290	0.3288778827
291	0.3287150428
292	0.3285748142
293	0.3285505405
294	0.3284915241
295	0.3284054667
296	0.3282673827
297	0.3281890357
298	0.3281791084
299	0.3281157785
300	0.3279786912
301	0.3278931959
302	0.3278161035
303	0.3277074377
304	0.3276414815
305	0.3275303128
306	0.3274663098
307	0.3274177586
308	0.3273484243
309	0.3272798192
310	0.3272333132
311	0.3271557386
312	0.3270451809
313	0.3269776321
314	0.3269003556
315	0.326863611
316	0.3267772097
317	0.3267275474
318	0.3266382299
319	0.3265266698
320	0.3264790541
321	0.3263847041
322	0.3263087237
323	0.3262258628
324	0.3261427339
325	0.3260885991
326	0.3259859246
327	0.3258834336
328	0.3257874457
329	0.3257576171
330	0.3256974018
331	0.3256388452
332	0.3256036263
333	0.3255205028
334	0.3255127122
335	0.3254372876
336	0.3253959394
337	0.3253490643
338	0.32522193
339	0.325133952
340	0.3250599788
341	0.3250096874
342	0.3249476857
343	0.3249081872
344	0.3248494583
345	0.3248047121
346	0.3247941859
347	0.3247347983
348	0.3247164546
349	0.3246615497
350	0.3246314315
351	0.3246094237
352	0.3245222745
353	0.3245112533
354	0.3244755342
355	0.3244306471
356	0.3243833175
357	0.324348359
358	0.3242448804
359	0.3241981065
360	0.3241681365
361	0.324103854
362	0.3240479899
363	0.3239867567
364	0.3238758518
365	0.3237748626
366	0.3237348813
367	0.3237050859
368	0.3236879475
369	0.3236105619
370	0.3235392746
371	0.3234486638
372	0.3233667388
373	0.323278659
374	0.3232254787
375	0.3231627847
376	0.32313761
377	0.3230467699
378	0.3229768788
379	0.3229221618
380	0.3228698278
381	0.3228119048
382	0.3227622616
383	0.3226840441
384	0.3225785684
385	0.3225034661
386	0.3224283054
387	0.3223711069
388	0.3222702839
389	0.3222083397
390	0.3221718905
391	0.3221424492
392	0.3220727184
393	0.3220481044
394	0.3219898676
395	0.3219366355
396	0.3218917279
397	0.3218091477
398	0.3217226366
399	0.3216862683
400	0.321611589
401	0.3215081937
402	0.3214314588
403	0.3214058113
404	0.3213757391
405	0.3213349643
406	0.3212942387
407	0.3212340601
408	0.3211398034
409	0.3210670797
410	0.3210105053
411	0.3209943926
412	0.3209112357
413	0.3208868538
414	0.3208229562
415	0.3207383127
416	0.320709057
417	0.3206781202
418	0.3206531932
419	0.3205948762
420	0.3205223127
421	0.3204908997
422	0.3204232961
423	0.3203709826
424	0.3203016158
425	0.3202383467
426	0.3202117219
427	0.3201927039
428	0.3201439147
429	0.3201035665
430	0.3200502837
431	0.3199931441
432	0.3199451174
433	0.3199067519
434	0.3198974182
435	0.3198841388
436	0.319856945
437	0.3198134721
438	0.3197735538
439	0.319696562
440	0.3196504096
441	0.3196270198
442	0.3196102111
443	0.3195079527
444	0.3194788307
445	0.3194073047
446	0.3194014111
447	0.3193387889
448	0.3193079402
449	0.3192554676
450	0.3191977124
451	0.3191558668
452	0.319130029
453	0.319123204
454	0.3190411023
455	0.3189936705
456	0.3189330903
457	0.3189083688
458	0.3188650645
459	0.318801853
460	0.3187828413
461	0.3187733977
462	0.3187012585
463	0.3186515287
464	0.3185942477
465	0.318511593
466	0.3184802453
467	0.3184774434
468	0.3184370726
469	0.3183923892
470	0.3183540246
471	0.3182672174
472	0.3182254378
473	0.3182121542
474	0.3181134156
475	0.3180566581
476	0.3180363982
477	0.3180007353
478	0.3179697395
479	0.317955493
480	0.3179251682
481	0.3178648421
482	0.3178529374
483	0.3177827607
484	0.3177056542
485	0.3176502338
486	0.3175713206
487	0.3175139899
488	0.3175000804
489	0.3174252122
490	0.3173339773
491	0.3172876581
492	0.3172502782
493	0.3172050245
494	0.3171872994
495	0.3171386961
496	0.3170841624
497	0.3170045697
498	0.3169406592
499	0.3169097785
500	0.3168646323
501	0.3167855913
502	0.3167654209
503	0.3166752191
504	0.3166485889
505	0.3166046982
506	0.3165416964
507	0.3165041035
508	0.31641489
509	0.316368394
510	0.3163221053
511	0.3162971233
512	0.3162354356
513	0.3162170496
514	0.3161814471
515	0.3161190257
516	0.3161090521
517	0.3160711148
518	0.3160418593
519	0.3160001948
520	0.3159566794
521	0.3159089653
522	0.3158904448
523	0.3158146509
524	0.31576244
525	0.3157344475
526	0.3156963774
527	0.3156313881
528	0.3156205066
529	0.3155561811
530	0.3155507333
531	0.3155029509
532	0.3154799703
533	0.3154263069
534	0.3153637566
535	0.3153446988
536	0.3153311814
537	0.3152768017
538	0.3152539498
539	0.3152173115
540	0.3151488854
541	0.3151299615
542	0.3151116715
543	0.3151039689
544	0.3150289504
545	0.3150284036
546	0.3150123154
547	0.3149411739
548	0.3149130831
549	0.3148957342
550	0.3148619016
551	0.3148114741
552	0.3147654024
553	0.3147392709
554	0.314734873
555	0.314708874
556	0.3146650094
557	0.3146358823
558	0.3145768762
559	0.3145543606
560	0.3145052807
561	0.3144739038
562	0.3144220332
563	0.3143743709
564	0.3143533
565	0.3142892868
566	0.3142847827
567	0.3142392856
568	0.3141766555
569	0.314153354
570	0.314149039
571	0.3140827887
572	0.3140812392
573	0.3140726648
574	0.3140271569
575	0.3139922931
576	0.3139462206
577	0.3138903678
578	0.3138194009
579	0.3137683426
580	0.3137603854
581	0.3137083119
582	0.3136736016
583	0.3136191968
584	0.3135874183
585	0.3135415876
586	0.3135415873
587	0.3135040033
588	0.3134517162
589	0.313376272
590	0.3133227812
591	0.3132794454
592	0.3132762294
593	0.3132116598
594	0.3131676469
595	0.3131592072
596	0.3131403906
597	0.3131078726
598	0.3131004289
599	0.3130488771
600	0.3130355471
601	0.3129885761
602	0.3129129219
603	0.3128753745
604	0.3128072944
605	0.312736732
606	0.3127002072
607	0.3126891661
608	0.3126508649
609	0.3126030781
610	0.3125946772
611	0.3125560591
612	0.3125217125
613	0.3125100264
614	0.3124786192
615	0.3124332509
616	0.3123894215
617	0.3123584387
618	0.3123214594
619	0.3122627289
620	0.3122068333
621	0.3121566555
622	0.3121364764
623	0.3120702583
624	0.3120518395
625	0.3120089696
626	0.3119536139
627	0.3119166929
628	0.3118873293
629	0.3118649336
630	0.3118058557
631	0.3117898435
632	0.3117678341
633	0.3117278762
634	0.3116669439
635	0.3116420463
636	0.3116137695
637	0.3115842964
638	0.3115458672
639	0.3115037363
640	0.3114552587
641	0.3113947108
642	0.3113361502
643	0.3113250764
644	0.3112910517
645	0.3112762162
646	0.3112727281
647	0.3112376996
648	0.3111941643
649	0.3111456237
650	0.3111306878
651	0.3110977008
652	0.3110651353
653	0.3110208336
654	0.3109826662
655	0.3109432583
656	0.3109085444
657	0.310842672
658	0.3107915128
